src.fid;src.device_id;src.ab_eoi_code;Status;src.network;Region;Gewest;Municipality;Gemeente;src.Name;src.timestamp;src.Value;Google Maps;Google Street View;Geo Point
pm10_hmean_station.fid--17262e03_197a4795c21_-47b6;7148;BETR510;Active;Wallonia;;;;;45R510 - Châtelineau;2025-06-23T16:00:00+02:00;26;https://www.google.com/maps/search/?api=1&query=122850%2C160830;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=122850%2C160830;50.416433359538004, 4.521130208130446
pm10_hmean_station.fid--17262e03_197a4795c21_-46c4;7143;BETR502;Active;Wallonia;;;;;45R502 - Lodelinsart;2025-06-23T13:00:00+02:00;14;https://www.google.com/maps/search/?api=1&query=124240%2C156390;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=124240%2C156390;50.42899539289616, 4.4586808580217205
pm10_hmean_station.fid--17262e03_197a4795c21_-47b2;11054;BETR237;Active;Wallonia;;;;;48R237 - Aeroport 1;2025-06-23T16:00:00+02:00;12;https://www.google.com/maps/search/?api=1&query=149822%2C227899;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=149822%2C227899;50.65381476013357, 5.470383864868788
pm10_hmean_station.fid--17262e03_197a4795c21_-46c0;11059;BETR236;Active;Wallonia;;;;;48R236 - Aeroport 2;2025-06-23T13:00:00+02:00;8;https://www.google.com/maps/search/?api=1&query=145906%2C224188;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=145906%2C224188;50.619097009467374, 5.417128324921351
pm10_hmean_station.fid--17262e03_197a4795c21_-47ae;10767;BELAL03;Active;Flanders;;;;;40AL03 - Beveren;2025-06-23T15:00:00+02:00;16;https://www.google.com/maps/search/?api=1&query=216020%2C138320;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=216020%2C138320;51.25396488066987, 4.201460395126576
pm10_hmean_station.fid--17262e03_197a4795c21_-46bd;100048;BETR516;Active;Wallonia;;;;;48R516 - Aeroport 2;2025-06-23T13:00:00+02:00;4;https://www.google.com/maps/search/?api=1&query=128707%2C158250;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=128707%2C158250;50.469131603874, 4.484957959246505
pm10_hmean_station.fid--17262e03_197a4795c21_-47a9;6218;BELHB23;Active;Flanders;;;;;40HB23 - Hoboken;2025-06-23T15:00:00+02:00;53;https://www.google.com/maps/search/?api=1&query=206699%2C148059;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=206699%2C148059;51.17029803843535, 4.341005064562845
pm10_hmean_station.fid--17262e03_197a4795c21_-46bc;6153;BELAL02;Active;Flanders;;;;;40AL02 - Beveren;2025-06-23T12:00:00+02:00;15;https://www.google.com/maps/search/?api=1&query=221640%2C140660;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=221640%2C140660;51.30452079034417, 4.234832753144062
pm10_hmean_station.fid--17262e03_197a4795c21_-47a8;6301;BELMN01;Active;Flanders;;;;;40MN01 - Menen;2025-06-23T15:00:00+02:00;16;https://www.google.com/maps/search/?api=1&query=165530%2C61230;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=165530%2C61230;50.79346904431341, 3.1096418744986645
pm10_hmean_station.fid--17262e03_197a4795c21_-46b4;6324;BELOB01;Active;Flanders;;;;;40OB01 - Oostrozebeke;2025-06-23T12:00:00+02:00;39;https://www.google.com/maps/search/?api=1&query=179078%2C75367;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=179078%2C75367;50.91722844102679, 3.3073857993357563
